iter	Passed	Remaining
0	0	31
1	0	30
2	0	29
3	1	27
4	1	27
5	1	27
6	2	29
7	2	28
8	2	28
9	3	27
10	3	28
11	3	28
12	4	27
13	4	27
14	4	26
15	5	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	12	18
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	12
64	21	11
65	22	11
66	22	11
67	22	10
68	23	10
69	23	10
70	23	9
71	24	9
72	24	9
73	24	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	26	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	29	4
86	29	4
87	29	4
88	29	3
89	30	3
90	30	3
91	30	2
92	31	2
93	31	2
94	32	1
95	32	1
96	32	1
97	33	0
98	33	0
99	33	0
