iter	Passed	Remaining
0	58	58602
1	58	29440
2	59	19717
3	59	14859
4	59	11938
5	60	9996
6	60	8609
7	61	7564
8	61	6755
9	61	6107
10	62	5577
11	62	5139
12	62	4766
13	63	4451
14	63	4173
15	63	3930
16	64	3714
17	64	3523
18	64	3352
19	65	3198
20	65	3058
21	65	2931
22	66	2815
23	66	2709
24	66	2611
25	67	2519
26	67	2435
27	67	2355
28	68	2281
29	68	2215
30	68	2150
31	69	2090
32	69	2034
33	69	1982
34	70	1934
35	70	1888
36	70	1843
37	71	1801
38	71	1763
39	71	1725
40	72	1688
41	72	1653
42	72	1620
43	73	1589
44	73	1560
45	73	1533
46	74	1506
47	74	1479
48	74	1454
49	75	1430
50	75	1407
51	75	1384
52	76	1362
53	76	1341
54	76	1322
55	77	1303
56	77	1285
57	78	1268
58	78	1250
59	78	1233
60	79	1218
61	79	1203
62	79	1188
63	80	1173
64	80	1159
65	80	1145
66	81	1132
67	81	1118
68	81	1106
69	82	1093
70	82	1080
71	82	1068
72	83	1056
73	83	1044
74	83	1033
75	84	1022
76	84	1011
77	85	1006
78	85	997
79	85	987
80	86	977
81	86	968
82	86	957
83	86	948
84	87	939
85	87	931
86	87	923
87	88	915
88	88	907
89	88	899
90	89	893
91	89	885
92	90	878
93	90	871
94	90	864
95	91	857
96	91	850
97	91	843
98	91	836
99	92	831
100	92	825
101	93	818
102	93	813
103	93	807
104	94	801
105	94	795
106	94	790
107	95	784
108	95	779
109	95	774
110	96	769
111	96	764
112	96	759
113	97	754
114	97	750
115	97	745
116	98	739
117	98	734
118	98	729
119	98	725
120	99	721
121	99	716
122	100	713
123	100	709
124	100	705
125	101	701
126	101	696
127	101	692
128	102	689
129	102	685
130	102	681
131	103	677
132	103	673
133	103	670
134	104	666
135	104	663
136	104	659
137	105	656
138	105	653
139	105	650
140	106	646
141	106	642
142	106	639
143	107	636
144	107	633
145	107	630
146	108	628
147	108	625
148	109	623
149	109	620
150	109	617
151	110	614
152	110	611
153	110	608
154	111	605
155	111	602
156	111	599
157	111	596
158	112	594
159	112	591
160	112	588
161	113	585
162	113	582
163	114	581
164	114	578
165	114	575
166	114	573
167	115	570
168	115	568
169	115	565
170	116	563
171	116	561
172	116	558
173	117	556
174	117	554
175	118	552
176	118	550
177	118	548
178	118	545
179	119	543
180	119	541
181	119	539
182	120	536
183	120	534
184	120	532
185	121	531
186	121	529
187	122	527
188	122	525
189	122	523
190	123	521
191	123	519
192	123	517
193	124	515
194	124	514
195	124	512
196	125	510
197	125	508
198	125	506
199	126	504
200	126	503
201	126	501
202	127	499
203	127	497
204	127	496
205	128	494
206	128	492
207	128	490
208	129	488
209	129	487
210	129	485
211	130	484
212	130	482
213	131	481
214	131	480
215	131	478
216	132	476
217	132	474
218	132	473
219	133	471
220	133	470
221	133	468
222	134	467
223	134	465
224	134	463
225	134	462
226	135	460
227	135	459
228	136	458
229	136	456
230	136	455
231	137	453
232	137	452
233	137	450
234	137	449
235	138	447
236	138	445
237	138	444
238	139	443
239	139	441
240	140	441
241	140	439
242	140	438
243	141	437
244	141	435
245	141	434
246	142	433
247	142	431
248	142	430
249	143	429
250	143	428
251	143	426
252	144	425
253	144	424
254	144	422
255	145	421
256	145	420
257	145	418
258	145	417
259	146	416
260	146	415
261	147	414
262	147	412
263	147	411
264	147	410
265	148	409
266	148	408
267	149	407
268	149	405
269	149	404
270	149	403
271	150	402
272	150	401
273	150	400
274	151	398
275	151	397
276	152	396
277	152	395
278	152	394
279	152	393
280	153	392
281	153	390
282	153	389
283	154	388
284	154	387
285	154	386
286	155	385
287	155	384
288	155	383
289	156	382
290	156	381
291	156	380
292	157	379
293	157	378
294	157	377
295	158	376
296	158	374
297	158	373
298	159	372
299	159	372
300	159	371
301	160	370
302	160	369
303	160	368
304	161	367
305	161	366
306	161	365
307	162	364
308	162	363
309	162	362
310	163	361
311	163	360
312	163	359
313	164	359
314	164	358
315	165	357
316	165	356
317	165	355
318	166	354
319	166	353
320	166	352
321	167	351
322	167	350
323	167	350
324	168	349
325	168	348
326	168	347
327	169	346
328	169	345
329	169	344
330	170	343
331	170	342
332	170	341
333	171	341
334	171	340
335	171	339
336	172	338
337	172	337
338	172	336
339	173	335
340	173	335
341	173	334
342	174	333
343	174	332
344	174	331
345	175	331
346	175	330
347	175	329
348	176	328
349	176	327
350	176	326
351	177	326
352	177	325
353	178	324
354	178	324
355	178	323
356	178	322
357	179	321
358	179	320
359	180	320
360	180	319
361	180	318
362	181	317
363	181	316
364	181	316
365	182	315
366	182	314
367	182	313
368	183	313
369	183	312
370	183	311
371	183	310
372	184	309
373	184	309
374	185	308
375	185	307
376	185	306
377	186	306
378	186	305
379	186	304
380	186	303
381	187	303
382	187	302
383	188	301
384	188	301
385	188	300
386	189	299
387	189	298
388	189	297
389	189	297
390	190	296
391	190	295
392	190	294
393	191	294
394	191	293
395	191	292
396	192	291
397	192	290
398	192	290
399	193	289
400	193	288
401	193	288
402	193	287
403	194	286
404	194	285
405	194	285
406	195	284
407	195	283
408	195	283
409	196	282
410	196	281
411	196	280
412	197	280
413	197	279
414	197	278
415	198	278
416	198	277
417	198	276
418	199	276
419	199	275
420	200	275
421	200	274
422	200	273
423	201	273
424	201	272
425	201	271
426	201	271
427	202	270
428	202	269
429	202	268
430	203	268
431	203	267
432	203	266
433	204	266
434	204	265
435	204	264
436	204	264
437	205	263
438	205	262
439	206	262
440	206	261
441	206	261
442	207	260
443	207	259
444	207	259
445	208	258
446	208	257
447	208	257
448	209	256
449	209	256
450	209	255
451	210	254
452	210	254
453	210	253
454	211	252
455	211	252
456	211	251
457	212	251
458	212	250
459	212	250
460	213	249
461	213	248
462	213	248
463	214	247
464	214	246
465	214	246
466	215	245
467	215	244
468	215	244
469	216	243
470	216	243
471	216	242
472	217	241
473	217	241
474	217	240
475	218	239
476	218	239
477	218	238
478	219	238
479	220	238
480	220	237
481	220	237
482	221	236
483	221	235
484	221	235
485	222	234
486	222	234
487	222	233
488	223	233
489	223	232
490	223	232
491	224	231
492	224	231
493	225	230
494	225	229
495	225	229
496	226	228
497	226	228
498	226	227
499	227	227
500	227	226
501	227	226
502	228	225
503	228	224
504	228	224
505	229	223
506	229	223
507	229	222
508	230	222
509	230	221
510	230	220
511	231	220
512	231	219
513	231	219
514	232	218
515	232	218
516	232	217
517	233	216
518	233	216
519	233	215
520	234	215
521	234	214
522	235	214
523	235	213
524	235	213
525	236	212
526	236	212
527	237	212
528	237	211
529	238	211
530	238	210
531	239	210
532	239	210
533	240	209
534	240	208
535	240	208
536	241	207
537	241	207
538	241	206
539	242	206
540	242	205
541	243	205
542	243	204
543	243	204
544	244	203
545	245	203
546	245	203
547	246	202
548	246	202
549	246	201
550	247	201
551	247	200
552	247	200
553	248	199
554	248	199
555	248	198
556	249	198
557	249	197
558	249	197
559	250	196
560	250	196
561	250	195
562	251	195
563	251	194
564	251	193
565	252	193
566	252	192
567	252	192
568	253	191
569	253	191
570	253	190
571	254	190
572	254	189
573	254	189
574	255	188
575	255	188
576	255	187
577	256	187
578	256	186
579	256	185
580	257	185
581	257	184
582	257	184
583	257	183
584	258	183
585	258	182
586	258	182
587	259	181
588	259	181
589	259	180
590	260	180
591	260	179
592	261	179
593	261	178
594	261	178
595	262	177
596	262	177
597	262	176
598	263	176
599	263	175
600	263	175
601	264	174
602	264	174
603	264	173
604	265	173
605	265	172
606	265	172
607	266	171
608	266	171
609	266	170
610	267	170
611	267	169
612	268	169
613	268	168
614	268	168
615	269	167
616	269	167
617	269	166
618	270	166
619	270	165
620	270	165
621	271	164
622	271	164
623	271	163
624	272	163
625	272	162
626	272	162
627	273	161
628	273	161
629	273	160
630	274	160
631	274	159
632	275	159
633	275	158
634	275	158
635	276	157
636	276	157
637	276	157
638	277	156
639	277	156
640	277	155
641	277	155
642	278	154
643	278	154
644	279	153
645	279	153
646	279	152
647	280	152
648	280	151
649	280	151
650	281	150
651	281	150
652	281	149
653	282	149
654	282	148
655	282	148
656	283	147
657	283	147
658	283	146
659	284	146
660	284	145
661	284	145
662	285	144
663	285	144
664	285	143
665	286	143
666	286	143
667	286	142
668	287	142
669	287	141
670	287	141
671	288	140
672	288	140
673	288	139
674	289	139
675	289	138
676	289	138
677	290	137
678	290	137
679	290	136
680	291	136
681	291	135
682	291	135
683	292	135
684	292	134
685	292	134
686	293	133
687	293	133
688	294	132
689	294	132
690	294	131
691	295	131
692	295	130
693	296	130
694	296	130
695	297	129
696	297	129
697	297	128
698	298	128
699	298	127
700	298	127
701	299	126
702	299	126
703	299	126
704	300	125
705	300	125
706	300	124
707	301	124
708	301	123
709	301	123
710	302	122
711	302	122
712	302	121
713	303	121
714	303	120
715	303	120
716	304	120
717	304	119
718	304	119
719	305	118
720	305	118
721	305	117
722	306	117
723	306	116
724	306	116
725	307	115
726	307	115
727	307	114
728	308	114
729	308	114
730	308	113
731	309	113
732	309	112
733	309	112
734	310	111
735	310	111
736	310	110
737	311	110
738	311	110
